Object ID,Is Public Domain,Department,AccessionYear,Object Name,Title,Culture,Artist Role,Artist Display Name,Artist Display Bio,Object Date,Object Begin Date,Credit Line,City,Classification,Link Resource,Tags
649082,False,Drawings and Prints,1970.0,Print,"Birds in the Nest (in Parables from Nature, opp. p. 327)",,Engraver|Artist,Horace Harral|Joseph Wolf,"British, Ipswich 1817–1905 Hastings|German, Moers 1820–1899 London",1865,1865,"Gift of Lincoln Kirstein, 1970",London,Prints,http://www.metmuseum.org/art/collection/search/649082,
395516,True,Drawings and Prints,2011.0,Print,Peasant of the Alps,,Publisher|Publisher|Artist,Matthew Darly|Mary Darly|Henry William Bunbury,"British, ca. 1720–1780 London|British, 1760–1781|British, Mildenhall, Suffolk 1750–1811 Keswick, Cumberland","April 2, 1771",1771,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 2011",London,Prints,http://www.metmuseum.org/art/collection/search/395516,Men|Profiles
349051,False,Drawings and Prints,1948.0,Book,Albrecht Dürers Christlich-Mythologische Handzeichnungen,,Author|Lithographer|Artist,Johann Nepomuk Strixner|Alois Senefelder|Albrecht Dürer,"German, Altötting 1782–1855 Munich|German, Prague 1771–1834 Munich|German, Nuremberg 1471–1528 Nuremberg",1808,1808,"Harris Brisbane Dick Fund, 1948",Munich,Books,http://www.metmuseum.org/art/collection/search/349051,
17527,False,The American Wing,2002.0,Photograph album,Photograph Album,American,Maker,Tiffany Studios,1902–32,ca. 1902–20,1899,"Gift of John D'Agostino, 2002",New York,,http://www.metmuseum.org/art/collection/search/17527,
503860,True,Musical Instruments,1889,Tenor Valve Trombone in B-flat,Tenor Valve Trombone in B-flat,Italian,Maker,Pietro Borsari,active late 19th century,ca. 1870,1865,"The Crosby Brown Collection of Musical Instruments, 1889",Bologna,Aerophone-Lip Vibrated-trumpet / trombone,http://www.metmuseum.org/art/collection/search/503860,
20488,False,The American Wing,2010.0,Pitcher,Pitcher,American,Artist,Robert R. Jarvie,"American, 1865–1941",1914,1914,"Purchase, Lee Paula Miller, Jacobsen Foundation and Anonymous Gifts, 2010",Chicago,,http://www.metmuseum.org/art/collection/search/20488,
433569,False,Drawings and Prints,1933.0,Print collection ornament & architecture,"Two satyrs, a child, and a goat amidst rinceaux, from Ornements de panneaux à la romaine, plate 9, bound in Oeuvres. Vol. IV",,Artist|Publisher,Jean Le Pautre|Jean I Leblond,"French, Paris 1618–1682 Paris|French, ca. 1590–1666 Paris",published ca. 1651,1646,"Harris Brisbane Dick Fund, 1933",Paris,Prints|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/433569,
16799,False,The American Wing,2000.0,Pin,Pin,American,Maker,Tiffany & Co.,1837–present,ca. 1875,1872,"Purchase, Susan and Jon Rotenstreich Gift, 2000",New York,,http://www.metmuseum.org/art/collection/search/16799,
7868,True,The American Wing,1933.0,Spur,Spur,American,Maker,"Paul Revere, III",1760–1813,1800–1830,1800,"Bequest of Alphonso T. Clearwater, 1933",Boston,,http://www.metmuseum.org/art/collection/search/7868,
348137,False,Drawings and Prints,1958.0,Book,Nouveau Cayer de Paysages à l'usage des personnes qui apprennent le Dessin,,Publisher,J. B. Crépy,,1781,1781,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1958",Paris,Books,http://www.metmuseum.org/art/collection/search/348137,
16873,False,The American Wing,2000.0,Coffeepot,Coffeepot,American,Manufacturer,Willets Manufacturing Company,1879–1908,ca. 1901,1901,"Friends of the American Wing Fund, 2000",Trenton,,http://www.metmuseum.org/art/collection/search/16873,
707200,False,Drawings and Prints,1955.0,Book,Orazione funebre in morte del Marchese Scipione Maffei detta nella cattedrale di Verona...Con l'aggiunta d'alcuni componimenti poetici d'autore veronese... (Verona 1755),,Publisher|Author|Artist|Artist|Artist|Artist,Dionigi Ramanzini|Marc'Antonio Pindemonte|Domenico Cunego|Giovanni Antonio Urbani|Adriano Cristofali|Pietro Rotari,"| |Italian, Verona 1727–1803 Rome|Italian, active 18th century|Italian, Verona 1718–1788 Verona|Italian, Verona 1707–1762 St. Petersburg",1755,1755,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1955",Lucca,Books,http://www.metmuseum.org/art/collection/search/707200,
785211,False,The American Wing,2018.0,Platter,Platter,French,Manufacturer|Retailer,"G. Baruch Weil|Airé & Cie, Paris","1799–1828 Paris, France|",ca. 1801–04,1796,"Gift of Page Williams Dwyer, 2018",Paris,,http://www.metmuseum.org/art/collection/search/785211,
746637,False,Drawings and Prints,1944.0,Book Print Ornament & Architecture,Design for a shawl with scrolling paisley leaves and Indian flowers,,Publisher|Lithographer|Designer|Designer,Fleury Chavant|Georges Schlatter|J.E.G.|Herault,"French, 19th century|French| |French, 19th Century",[after 1844],1844,"Gift of Edith P. Blase, 1944",Paris,Books|Prints|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/746637,
892631,false,The Libraries,,,Roller-printed paste papers for bookbinding,,Artist,Henry Morris,"American, 1925–2019",1975,1975,Gift of Mary C. Schlosser,North Hills,,http://www.metmuseum.org/art/collection/search/892631,
345536,False,Drawings and Prints,1961.0,Book,"Manufacturer of electro plated British plate equal to silver. . .furnishing ironmonger, and manufaturere of tin, copper, iron & Japan wares",,Author,James Barlow,"British, active 1845",ca. 1845,1840,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1961",London,Books,http://www.metmuseum.org/art/collection/search/345536,
9311,false,The American Wing,1980.O,Vase,Vase,American,Maker,The Alvin Manufacturing Company,1886–1928,1890–1905,1890,"Sansbury-Mills Fund, 1980",Providence,,http://www.metmuseum.org/art/collection/search/9311,Flowers
727940,False,Drawings and Prints,1991.0,Book Prints Ornament & Architecture,"Fleurs (Flowers), Plate 15",,Printer|Publisher|Designer,"G. Kadar|Editions ""Synth""|Serge Gladky","| |French, active 1920–30s",1929,1929,"Jane E. Andrews Fund, in memory of William Loring Andrews, 1943, transfered from the Library (1991.1073.124)",Paris,Books|Prints|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/727940,
659600,False,Drawings and Prints,1918.0,Books Prints Ornament & Architecture,"Esemplario di Lauori..., page 17 (verso)",,Designer|Publisher,Florio Vavassore|Giovanni Andrea Vavassore,"Italian, active 16th century|Italian, active Venice 1530–1573","August 1, 1532",1532,"Rogers Fund, 1918",Venice,Books|Prints|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/659600,
7803,True,The American Wing,1933.0,Spoon,Spoon,American,Maker,"Paul Revere, III",1760–1813,ca. 1800,1797,"Bequest of Alphonso T. Clearwater, 1933",Boston,,http://www.metmuseum.org/art/collection/search/7803,
9479,True,The American Wing,1896.0,Vase,Vase,American,Designer|Maker,Louis C. Tiffany|Tiffany Glass and Decorating Company,"American, New York 1848–1933 New York|American, 1892–1902",1893–96,1893,"Gift of H. O. Havemeyer, 1896",New York,,http://www.metmuseum.org/art/collection/search/9479,
