Object ID,Department,AccessionYear,Object Name,Title,Culture,Artist Role,Artist Display Bio,Artist Alpha Sort,Object Date,City,Country,Classification,Link Resource,Tags
649082,Drawings and Prints,1970.0,Print,"Birds in the Nest (in Parables from Nature, opp. p. 327)",,Engraver|Artist,"British, Ipswich 1817–1905 Hastings|German, Moers 1820–1899 London","Harral, Horace|Wolf, Joseph",1865,London,,Prints,http://www.metmuseum.org/art/collection/search/649082,
395516,Drawings and Prints,2011.0,Print,Peasant of the Alps,,Publisher|Publisher|Artist,"British, ca. 1720–1780 London|British, 1760–1781|British, Mildenhall, Suffolk 1750–1811 Keswick, Cumberland","Darly, Matthew|Darly, Mary|Bunbury, Henry William","April 2, 1771",London,,Prints,http://www.metmuseum.org/art/collection/search/395516,Men|Profiles
349051,Drawings and Prints,1948.0,Book,Albrecht Dürers Christlich-Mythologische Handzeichnungen,,Author|Lithographer|Artist,"German, Altötting 1782–1855 Munich|German, Prague 1771–1834 Munich|German, Nuremberg 1471–1528 Nuremberg","Strixner, Johann Nepomuk|Senefelder, Alois|Dürer, Albrecht",1808,Munich,,Books,http://www.metmuseum.org/art/collection/search/349051,
17527,The American Wing,2002.0,Photograph album,Photograph Album,American,Maker,1902–32,Tiffany Studios ,ca. 1902–20,New York,United States,,http://www.metmuseum.org/art/collection/search/17527,
503860,Musical Instruments,1889,Tenor Valve Trombone in B-flat,Tenor Valve Trombone in B-flat,Italian,Maker,active late 19th century,Borsari Pietro,ca. 1870,Bologna,Italy,Aerophone-Lip Vibrated-trumpet / trombone,http://www.metmuseum.org/art/collection/search/503860,
20488,The American Wing,2010.0,Pitcher,Pitcher,American,Artist,"American, 1865–1941","Jarvie, Robert R.",1914,Chicago,United States,,http://www.metmuseum.org/art/collection/search/20488,
433569,Drawings and Prints,1933.0,Print collection ornament & architecture,"Two satyrs, a child, and a goat amidst rinceaux, from Ornements de panneaux à la romaine, plate 9, bound in Oeuvres. Vol. IV",,Artist|Publisher,"French, Paris 1618–1682 Paris|French, ca. 1590–1666 Paris","Le Pautre, Jean|Leblond, Jean I",published ca. 1651,Paris,,Prints|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/433569,
16799,The American Wing,2000.0,Pin,Pin,American,Maker,1837–present,Tiffany & Co.,ca. 1875,New York,United States,,http://www.metmuseum.org/art/collection/search/16799,
7868,The American Wing,1933.0,Spur,Spur,American,Maker,1760–1813,"Revere, III Paul",1800–1830,Boston,United States,,http://www.metmuseum.org/art/collection/search/7868,
348137,Drawings and Prints,1958.0,Book,Nouveau Cayer de Paysages à l'usage des personnes qui apprennent le Dessin,,Publisher, ,"Crépy, J. B.",1781,Paris,,Books,http://www.metmuseum.org/art/collection/search/348137,
16873,The American Wing,2000.0,Coffeepot,Coffeepot,American,Manufacturer,1879–1908,Willets Manufacturing Company ,ca. 1901,Trenton,United States,,http://www.metmuseum.org/art/collection/search/16873,
707200,Drawings and Prints,1955.0,Book,Orazione funebre in morte del Marchese Scipione Maffei detta nella cattedrale di Verona...Con l'aggiunta d'alcuni componimenti poetici d'autore veronese... (Verona 1755),,Publisher|Author|Artist|Artist|Artist|Artist," | |Italian, Verona 1727–1803 Rome|Italian, active 18th century|Italian, Verona 1718–1788 Verona|Italian, Verona 1707–1762 St. Petersburg","Ramanzini, Dionigi|Pindemonte, Marc'Antonio|Cunego, Domenico|Urbani, Giovanni Antonio|Cristofali, Adriano|Rotari, Pietro",1755,Lucca,,Books,http://www.metmuseum.org/art/collection/search/707200,
785211,The American Wing,2018.0,Platter,Platter,French,Manufacturer|Retailer,"1799–1828 Paris, France| ","G. Baruch Weil|Airé & Cie, Paris",ca. 1801–04,Paris,France,,http://www.metmuseum.org/art/collection/search/785211,
746637,Drawings and Prints,1944.0,Book Print Ornament & Architecture,Design for a shawl with scrolling paisley leaves and Indian flowers,,Publisher|Lithographer|Designer|Designer,"French, 19th century|French| |French, 19th Century","Chavant, Fleury|Schlatter, Georges|J.E.G.|Herault",[after 1844],Paris,,Books|Prints|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/746637,
892631,The Libraries,,,Roller-printed paste papers for bookbinding,,Artist,"American, 1925–2019","Morris, Henry",1975,North Hills,,,http://www.metmuseum.org/art/collection/search/892631,
345536,Drawings and Prints,1961.0,Book,"Manufacturer of electro plated British plate equal to silver. . .furnishing ironmonger, and manufaturere of tin, copper, iron & Japan wares",,Author,"British, active 1845","Barlow, James",ca. 1845,London,,Books,http://www.metmuseum.org/art/collection/search/345536,
9311,The American Wing,1980.0,Vase,Vase,American,Maker,1886–1928,Alvin Manufacturing Company,1890–1905,Providence,United States,,http://www.metmuseum.org/art/collection/search/9311,Flowers
727940,Drawings and Prints,1991.0,Book Prints Ornament & Architecture,"Fleurs (Flowers), Plate 15",,Printer|Publisher|Designer," | |French, active 1920–30s","Kadar, G.|Editions ""Synth""|Gladky, Serge",1929,Paris,,Books|Prints|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/727940,
659600,Drawings and Prints,1918.0,Books Prints Ornament & Architecture,"Esemplario di Lauori..., page 17 (verso)",,Designer|Publisher,"Italian, active 16th century|Italian, active Venice 1530–1573","Vavassore, Florio|Vavassore, Giovanni Andrea","August 1, 1532",Venice,,Books|Prints|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/659600,
7803,The American Wing,1933.0,Spoon,Spoon,American,Maker,1760–1813,"Revere, III Paul",ca. 1800,Boston,United States,,http://www.metmuseum.org/art/collection/search/7803,
9479,The American Wing,1896.0,Vase,Vase,American,Designer|Maker,"American, New York 1848–1933 New York|American, 1892–1902","Tiffany, Louis C.|Tiffany Glass and Decorating Company",1893–96,New York,United States,,http://www.metmuseum.org/art/collection/search/9479,
8221,The American Wing,1933.0,Tankard,Tankard,American,Maker,1715–1769,"Roosevelt, Nicholas",1740–50,New York,United States,,http://www.metmuseum.org/art/collection/search/8221,
696861,Drawings and Prints,1962.0,Print,"The death of Saint Joseph, who lies in bed surrounded by the Virgin, Christ, and angels; above, an angel carries lilies; from the series of 112 prints of the sacred history, after the painting by Giovanni Battista Pittoni",,Publisher|Artist|Artist,"Italian, Belluno 1707–1772 Venice|Italian, Venice 1687–1767 Venice|Italian, Belluno 1707–1772 Venice","Monaco, Pietro|Pittoni, Giovanni Battista|Monaco, Pietro",ca. 1730–39,Venice,,Prints,http://www.metmuseum.org/art/collection/search/696861,
349406,Drawings and Prints,1957.0,Book,"Every Lady Her Own Shoemaker; or, a complete self-instructor in the art of making gaiters and shoes",,Author,"New York, NY",Dewitt & Davenport,1856,New York,,Books,http://www.metmuseum.org/art/collection/search/349406,
701829,Drawings and Prints,1960.0,"Print, Fete, Ornament & Architecture",Plate 12: Members of the clergy marching in the funeral procession of Archduke Albert of Austria; from 'Pompa Funebris ... Alberti Pii',,Artist|Artist,"Netherlandish, Antwerp 1576–1650 Antwerp|French, Brussels 1577–1651 Brussels","Galle, Cornelis, I|Francquart, Jacques",1623,Brussels,,Prints|Prints-Fete,http://www.metmuseum.org/art/collection/search/701829,Men|Funerals
491147,Modern and Contemporary Art,1943,Textile sample,Sample,American,Maker|Maker,"American (born Germany), Frankfurt-am-Main 1863–1962 Staten Island, New York|American (born Germany ?), 1868– (?)","Stirn, Louis A.|Stirn, Edmund A.",1925,New York,America,Textiles-Printed,http://www.metmuseum.org/art/collection/search/491147,
